Betting Strategy,BetType,Rolls Since Last Hit,Avg Delay,Min Delay,Max Delay,Bet Signal,Bias Score,Bias Classification,Martingale Risk
'Tiers,General,3.0,2.77,1.0,11.0,? Consider betting,0.08 | 0.11,0 | +,"$1,530"
'33/36,Horizontal Doubles,17.0,14.91,1.0,51.0,? Consider betting,0.48 | 0.22,+ | +,
'0/1,Horizontal Doubles,43.0,21.19,1.0,63.0,? Consider betting,-0.26 | -0.19,- | -,
'0/2,Horizontal Doubles,45.0,18.0,1.0,63.0,? Consider betting,-0.07 | -0.04,0 | 0,
'0/3,Horizontal Doubles,15.0,17.18,1.0,73.0,? Wait,-0.07 | 0.07,0 | 0,
'1/2,Vertical Doubles,43.0,23.79,1.0,124.0,? Consider betting,-0.07 | -0.26,0 | -,
'2/3,Vertical Doubles,15.0,18.5,1.0,75.0,? Wait,0.11 | -0.0,+ | 0,
'4/5,Vertical Doubles,7.0,16.48,1.0,78.0,? Wait,-0.44 | 0.11,- | +,
'5/6,Vertical Doubles,1.0,16.4,1.0,45.0,? Wait,0.11 | 0.15,+ | +,
'7/8,Vertical Doubles,26.0,15.89,1.0,58.0,? Consider betting,-0.44 | 0.07,- | 0,
'8/9,Vertical Doubles,11.0,19.57,1.0,91.0,? Wait,0.11 | -0.11,+ | -,
'10/11,Vertical Doubles,25.0,18.68,1.0,86.0,? Consider betting,0.11 | -0.04,+ | 0,
'11/12,Vertical Doubles,34.0,17.62,1.0,60.0,? Consider betting,-0.26 | -0.0,- | 0,
'13/14,Vertical Doubles,0.0,14.53,1.0,82.0,? Wait,0.11 | 0.22,+ | +,
'14/15,Vertical Doubles,0.0,19.25,1.0,65.0,? Wait,0.3 | -0.08,+ | 0,
'16/17,Vertical Doubles,2.0,27.56,1.0,79.0,? Wait,-0.63 | -0.3,- | -,
'17/18,Vertical Doubles,2.0,27.17,1.0,114.0,? Wait,0.11 | -0.3,+ | -,
'19/20,Vertical Doubles,30.0,30.4,3.0,65.0,? Wait,-0.07 | -0.41,0 | -,
'20/21,Vertical Doubles,96.0,27.86,1.0,86.0,? Consider betting,-0.81 | -0.45,- | -,$0
'22/23,Vertical Doubles,3.0,16.33,2.0,47.0,? Wait,-0.26 | 0.04,- | 0,
'23/24,Vertical Doubles,3.0,12.97,1.0,37.0,? Wait,0.48 | 0.33,+ | +,
'25/26,Vertical Doubles,27.0,20.52,3.0,75.0,? Consider betting,-0.26 | -0.11,- | -,
'26/27,Vertical Doubles,23.0,21.18,1.0,107.0,? Consider betting,0.29 | -0.15,+ | -,
'28/29,Vertical Doubles,22.0,14.74,2.0,49.0,? Consider betting,-0.45 | 0.18,- | +,
'29/30,Vertical Doubles,22.0,16.32,2.0,50.0,? Consider betting,-0.07 | 0.07,0 | 0,
'31/32,Vertical Doubles,6.0,15.73,1.0,45.0,? Wait,0.48 | 0.15,+ | +,
'32/33,Vertical Doubles,6.0,13.94,1.0,55.0,? Wait,1.04 | 0.33,+ | +,
'34/35,Vertical Doubles,5.0,19.16,3.0,54.0,? Wait,0.11 | -0.04,+ | 0,
'35/36,Vertical Doubles,5.0,20.17,1.0,51.0,? Wait,0.11 | -0.11,+ | -,
'1/2/4/5,Quads,7.0,9.96,1.0,49.0,? Wait,-0.26 | -0.08,- | 0,
'2/3/5/6,Quads,1.0,8.68,1.0,36.0,? Wait,0.11 | 0.07,+ | 0,
'4/5/7/8,Quads,7.0,8.24,1.0,34.0,? Wait,-0.44 | 0.09,- | 0,
'5/6/8/9,Quads,1.0,9.11,1.0,34.0,? Wait,0.11 | 0.02,+ | 0,
'7/8/10/11,Quads,25.0,8.65,1.0,40.0,? Consider betting,-0.17 | 0.02,- | 0,
'8/9/11/12,Quads,11.0,9.62,1.0,38.0,? Consider betting,-0.07 | -0.06,0 | 0,
'10/11/13/14,Quads,0.0,8.48,1.0,30.0,? Wait,0.11 | 0.09,+ | 0,
'11/12/14/15,Quads,0.0,9.65,1.0,40.0,? Wait,0.02 | -0.04,0 | 0,
'13/14/16/17,Quads,0.0,9.76,1.0,51.0,? Wait,-0.26 | -0.04,- | 0,
'14/15/17/18,Quads,0.0,11.42,1.0,65.0,? Wait,0.2 | -0.19,+ | -,
'16/17/19/20,Quads,2.0,14.59,1.0,51.0,? Wait,-0.35 | -0.35,- | -,
'17/18/20/21,Quads,2.0,14.82,1.0,60.0,? Wait,-0.35 | -0.37,- | -,
'19/20/22/23,Quads,3.0,11.23,1.0,35.0,? Wait,-0.17 | -0.19,- | -,
'20/21/23/24,Quads,3.0,9.66,1.0,29.0,? Wait,-0.17 | -0.06,- | 0,
'22/23/25/26,Quads,3.0,9.73,1.0,34.0,? Wait,-0.26 | -0.04,- | 0,
'23/24/26/27,Quads,3.0,8.38,1.0,37.0,? Wait,0.39 | 0.09,+ | 0,
'25/26/28/29,Quads,22.0,8.67,1.0,28.0,? Consider betting,-0.35 | 0.04,- | 0,$63
'26/27/29/30,Quads,22.0,9.16,1.0,44.0,? Consider betting,0.11 | -0.04,+ | 0,
'28/29/31/32,Quads,6.0,7.63,1.0,21.0,? Wait,0.02 | 0.17,0 | +,
'29/30/32/33,Quads,6.0,7.62,1.0,30.0,? Wait,0.48 | 0.2,+ | +,
'31/32/34/35,Quads,5.0,8.55,1.0,24.0,? Wait,0.3 | 0.05,+ | 0,
'32/33/35/36,Quads,5.0,8.29,1.0,33.0,? Wait,0.57 | 0.11,+ | +,
'0/1/2,Quads,43.0,13.7,1.0,63.0,? Consider betting,-0.14 | -0.16,- | -,
'0/2/3,Quads,15.0,12.03,1.0,59.0,? Consider betting,-0.01 | 0.01,0 | 0,
'Odds,Outside,2.0,2.03,1.0,8.0,? Wait,0.11 | 0.01,+ | 0,$63
'Even,Outside,0.0,2.08,1.0,7.0,? Wait,-0.1 | -0.01,0 | 0,$127
'Red,Outside,0.0,1.95,1.0,8.0,? Wait,0.03 | 0.06,0 | 0,$255
'Black,Outside,1.0,2.17,1.0,11.0,? Wait,-0.01 | -0.06,0 | 0,"$1,023"
'1 to 18,Outside,0.0,2.1,1.0,9.0,? Wait,-0.05 | -0.02,0 | 0,$511
'19 to 36,Outside,3.0,2.01,1.0,9.0,? Consider betting,0.07 | 0.02,0 | 0,$63
